method_name,documentation,code
sumDigits22,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits22(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome23,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome23(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits24,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits24(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM25,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM25(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower26,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower26(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits27,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits27(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome28,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome28(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits29,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits29(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM30,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM30(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower31,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower31(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits32,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits32(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome33,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome33(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits34,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits34(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM35,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM35(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower36,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower36(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits37,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits37(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome38,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome38(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits39,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits39(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM40,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM40(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower41,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower41(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits42,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits42(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome43,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome43(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits44,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits44(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM45,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM45(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower46,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower46(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits47,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits47(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome48,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome48(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits49,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits49(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM50,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM50(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower51,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower51(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits52,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits52(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome53,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome53(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits54,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits54(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM55,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM55(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
calculatePower56,"Calculates a raised to the power of b. Parameters: base a, exponent b. Returns: a^b.","int calculatePower56(int a, int b) { int result = 1; for (int i = 0; i < b; ++i) result *= a; return result; }"
sumDigits57,Calculates the sum of digits of an integer n. Parameter: n. Returns: sum of digits.,int sumDigits57(int n) { int sum = 0; while (n != 0) { sum += n % 10; n /= 10; } return sum; }
isPalindrome58,Checks if a given integer is a palindrome. Parameter: n. Returns: true if palindrome.,"bool isPalindrome58(int n) { int orig = n, rev = 0; while (n > 0) { rev = rev * 10 + n % 10; n /= 10; } return orig == rev; }"
countBits59,Counts the number of 1 bits in binary representation. Parameter: n. Returns: count of 1s.,int countBits59(int n) { int count = 0; while (n) { count += n & 1; n >>= 1; } return count; }
findLCM60,"Finds the least common multiple of a and b. Parameters: a, b. Returns: LCM of a and b.","int findLCM60(int a, int b) { int gcd = [] (int x, int y) { while (y) { int t = y; y = x % y; x = t; } return x; }(a, b); return a * b / gcd; }"
longestCommonPrefix1,Finds the longest common prefix among an array of strings. Parameters: strs. Returns: common prefix string.,"std::string longestCommonPrefix1(std::vector<std::string>& strs) {
    if (strs.empty()) return """";
    std::string prefix = strs[0];
    for (size_t i = 1; i < strs.size(); ++i) {
        while (strs[i].find(prefix) != 0) {
            prefix = prefix.substr(0, prefix.length() - 1);
            if (prefix.empty()) return """";
        }
    }
    return prefix;
}"
binarySearchRecursive2,"Performs binary search recursively. Parameters: arr, left, right, target. Returns: index or -1.","int binarySearchRecursive2(int arr[], int left, int right, int target) {
    if (left > right) return -1;
    int mid = left + (right - left) / 2;
    if (arr[mid] == target) return mid;
    if (arr[mid] > target)
        return binarySearchRecursive2(arr, left, mid - 1, target);
    return binarySearchRecursive2(arr, mid + 1, right, target);
}"
quickSort3,"Sorts an array using quicksort. Parameters: arr, low, high. Returns: none.","void quickSort3(int arr[], int low, int high) {
    if (low < high) {
        int pivot = arr[high];
        int i = (low - 1);
        for (int j = low; j < high; j++) {
            if (arr[j] < pivot) {
                i++;
                std::swap(arr[i], arr[j]);
            }
        }
        std::swap(arr[i + 1], arr[high]);
        int pi = i + 1;
        quickSort3(arr, low, pi - 1);
        quickSort3(arr, pi + 1, high);
    }
}"
mergeSortedArrays4,"Merges two sorted arrays into one sorted array. Parameters: arr1, size1, arr2, size2. Returns: merged sorted array.","std::vector<int> mergeSortedArrays4(const int arr1[], int size1, const int arr2[], int size2) {
    std::vector<int> result;
    int i = 0, j = 0;
    while (i < size1 && j < size2) {
        if (arr1[i] < arr2[j])
            result.push_back(arr1[i++]);
        else
            result.push_back(arr2[j++]);
    }
    while (i < size1) result.push_back(arr1[i++]);
    while (j < size2) result.push_back(arr2[j++]);
    return result;
}"
longestCommonPrefix5,Finds the longest common prefix among an array of strings. Parameters: strs. Returns: common prefix string.,"std::string longestCommonPrefix5(std::vector<std::string>& strs) {
    if (strs.empty()) return """";
    std::string prefix = strs[0];
    for (size_t i = 1; i < strs.size(); ++i) {
        while (strs[i].find(prefix) != 0) {
            prefix = prefix.substr(0, prefix.length() - 1);
            if (prefix.empty()) return """";
        }
    }
    return prefix;
}"
binarySearchRecursive6,"Performs binary search recursively. Parameters: arr, left, right, target. Returns: index or -1.","int binarySearchRecursive6(int arr[], int left, int right, int target) {
    if (left > right) return -1;
    int mid = left + (right - left) / 2;
    if (arr[mid] == target) return mid;
    if (arr[mid] > target)
        return binarySearchRecursive6(arr, left, mid - 1, target);
    return binarySearchRecursive6(arr, mid + 1, right, target);
}"
quickSort7,"Sorts an array using quicksort. Parameters: arr, low, high. Returns: none.","void quickSort7(int arr[], int low, int high) {
    if (low < high) {
        int pivot = arr[high];
        int i = (low - 1);
        for (int j = low; j < high; j++) {
            if (arr[j] < pivot) {
                i++;
                std::swap(arr[i], arr[j]);
            }
        }
        std::swap(arr[i + 1], arr[high]);
        int pi = i + 1;
        quickSort7(arr, low, pi - 1);
        quickSort7(arr, pi + 1, high);
    }
}"
mergeSortedArrays8,"Merges two sorted arrays into one sorted array. Parameters: arr1, size1, arr2, size2. Returns: merged sorted array.","std::vector<int> mergeSortedArrays8(const int arr1[], int size1, const int arr2[], int size2) {
    std::vector<int> result;
    int i = 0, j = 0;
    while (i < size1 && j < size2) {
        if (arr1[i] < arr2[j])
            result.push_back(arr1[i++]);
        else
            result.push_back(arr2[j++]);
    }
    while (i < size1) result.push_back(arr1[i++]);
    while (j < size2) result.push_back(arr2[j++]);
    return result;
}"
longestCommonPrefix9,Finds the longest common prefix among an array of strings. Parameters: strs. Returns: common prefix string.,"std::string longestCommonPrefix9(std::vector<std::string>& strs) {
    if (strs.empty()) return """";
    std::string prefix = strs[0];
    for (size_t i = 1; i < strs.size(); ++i) {
        while (strs[i].find(prefix) != 0) {
            prefix = prefix.substr(0, prefix.length() - 1);
            if (prefix.empty()) return """";
        }
    }
    return prefix;
}"
binarySearchRecursive10,"Performs binary search recursively. Parameters: arr, left, right, target. Returns: index or -1.","int binarySearchRecursive10(int arr[], int left, int right, int target) {
    if (left > right) return -1;
    int mid = left + (right - left) / 2;
    if (arr[mid] == target) return mid;
    if (arr[mid] > target)
        return binarySearchRecursive10(arr, left, mid - 1, target);
    return binarySearchRecursive10(arr, mid + 1, right, target);
}"
quickSort11,"Sorts an array using quicksort. Parameters: arr, low, high. Returns: none.","void quickSort11(int arr[], int low, int high) {
    if (low < high) {
        int pivot = arr[high];
        int i = (low - 1);
        for (int j = low; j < high; j++) {
            if (arr[j] < pivot) {
                i++;
                std::swap(arr[i], arr[j]);
            }
        }
        std::swap(arr[i + 1], arr[high]);
        int pi = i + 1;
        quickSort11(arr, low, pi - 1);
        quickSort11(arr, pi + 1, high);
    }
}"
mergeSortedArrays12,"Merges two sorted arrays into one sorted array. Parameters: arr1, size1, arr2, size2. Returns: merged sorted array.","std::vector<int> mergeSortedArrays12(const int arr1[], int size1, const int arr2[], int size2) {
    std::vector<int> result;
    int i = 0, j = 0;
    while (i < size1 && j < size2) {
        if (arr1[i] < arr2[j])
            result.push_back(arr1[i++]);
        else
            result.push_back(arr2[j++]);
    }
    while (i < size1) result.push_back(arr1[i++]);
    while (j < size2) result.push_back(arr2[j++]);
    return result;
}"
longestCommonPrefix13,Finds the longest common prefix among an array of strings. Parameters: strs. Returns: common prefix string.,"std::string longestCommonPrefix13(std::vector<std::string>& strs) {
    if (strs.empty()) return """";
    std::string prefix = strs[0];
    for (size_t i = 1; i < strs.size(); ++i) {
        while (strs[i].find(prefix) != 0) {
            prefix = prefix.substr(0, prefix.length() - 1);
            if (prefix.empty()) return """";
        }
    }
    return prefix;
}"
binarySearchRecursive14,"Performs binary search recursively. Parameters: arr, left, right, target. Returns: index or -1.","int binarySearchRecursive14(int arr[], int left, int right, int target) {
    if (left > right) return -1;
    int mid = left + (right - left) / 2;
    if (arr[mid] == target) return mid;
    if (arr[mid] > target)
        return binarySearchRecursive14(arr, left, mid - 1, target);
    return binarySearchRecursive14(arr, mid + 1, right, target);
}"
quickSort15,"Sorts an array using quicksort. Parameters: arr, low, high. Returns: none.","void quickSort15(int arr[], int low, int high) {
    if (low < high) {
        int pivot = arr[high];
        int i = (low - 1);
        for (int j = low; j < high; j++) {
            if (arr[j] < pivot) {
                i++;
                std::swap(arr[i], arr[j]);
            }
        }
        std::swap(arr[i + 1], arr[high]);
        int pi = i + 1;
        quickSort15(arr, low, pi - 1);
        quickSort15(arr, pi + 1, high);
    }
}"
mergeSortedArrays16,"Merges two sorted arrays into one sorted array. Parameters: arr1, size1, arr2, size2. Returns: merged sorted array.","std::vector<int> mergeSortedArrays16(const int arr1[], int size1, const int arr2[], int size2) {
    std::vector<int> result;
    int i = 0, j = 0;
    while (i < size1 && j < size2) {
        if (arr1[i] < arr2[j])
            result.push_back(arr1[i++]);
        else
            result.push_back(arr2[j++]);
    }
    while (i < size1) result.push_back(arr1[i++]);
    while (j < size2) result.push_back(arr2[j++]);
    return result;
}"
longestCommonPrefix17,Finds the longest common prefix among an array of strings. Parameters: strs. Returns: common prefix string.,"std::string longestCommonPrefix17(std::vector<std::string>& strs) {
    if (strs.empty()) return """";
    std::string prefix = strs[0];
    for (size_t i = 1; i < strs.size(); ++i) {
        while (strs[i].find(prefix) != 0) {
            prefix = prefix.substr(0, prefix.length() - 1);
            if (prefix.empty()) return """";
        }
    }
    return prefix;
}"
binarySearchRecursive18,"Performs binary search recursively. Parameters: arr, left, right, target. Returns: index or -1.","int binarySearchRecursive18(int arr[], int left, int right, int target) {
    if (left > right) return -1;
    int mid = left + (right - left) / 2;
    if (arr[mid] == target) return mid;
    if (arr[mid] > target)
        return binarySearchRecursive18(arr, left, mid - 1, target);
    return binarySearchRecursive18(arr, mid + 1, right, target);
}"
quickSort19,"Sorts an array using quicksort. Parameters: arr, low, high. Returns: none.","void quickSort19(int arr[], int low, int high) {
    if (low < high) {
        int pivot = arr[high];
        int i = (low - 1);
        for (int j = low; j < high; j++) {
            if (arr[j] < pivot) {
                i++;
                std::swap(arr[i], arr[j]);
            }
        }
        std::swap(arr[i + 1], arr[high]);
        int pi = i + 1;
        quickSort19(arr, low, pi - 1);
        quickSort19(arr, pi + 1, high);
    }
}"
mergeSortedArrays20,"Merges two sorted arrays into one sorted array. Parameters: arr1, size1, arr2, size2. Returns: merged sorted array.","std::vector<int> mergeSortedArrays20(const int arr1[], int size1, const int arr2[], int size2) {
    std::vector<int> result;
    int i = 0, j = 0;
    while (i < size1 && j < size2) {
        if (arr1[i] < arr2[j])
            result.push_back(arr1[i++]);
        else
            result.push_back(arr2[j++]);
    }
    while (i < size1) result.push_back(arr1[i++]);
    while (j < size2) result.push_back(arr2[j++]);
    return result;
}"
