MethodName,Documentation,Code
swap,/**\n * Swaps the values of two objects.\n *\n * This function exchanges the contents of the first and second objects.\n *\n * @param a The object to swap with.\n * @param b The object to swap from.\n */,"\nvoid swap(int &a, int &b) {\n  int temp = a;\n  a = b;\n  b = temp;\n}\n"
MaximalElement,/**\n     * Returns the maximal element in an array.\n     *\n     * \param arr The input array.\n     * \return The maximal element in the array.\n     */,"\nint MaximalElement(const int* arr, size_t n) {\n  if (n == 0)\n    return INT_MIN;\n\n  int max = arr[0];\n  for (size_t i = 1; i < n; ++i)\n    if (arr[i] > max)\n      max = arr[i];\n\n  return max;\n}\n"
Fibonacci,/**\n     * Calculates the nth Fibonacci number.\n     *\n     * \param n The position of the Fibonacci number to calculate.\n     * \return The nth Fibonacci number.\n     */,"\nint Fibonacci(int n) {\n  if (n <= 1)\n    return n;\n\n  int a = 0, b = 1;\n  for (int i = 2; i <= n; ++i) {\n    int temp = a + b;\n    a = b;\n    b = temp;\n  }\n\n  return b;\n}\n"
CountVowels,/**\n     * Counts the number of vowels in a string.\n     *\n     * \param str The input string.\n     * \return The count of vowels in the string.\n     */,\nint CountVowels(const char* str) {\n  int count = 0;\n  for (size_t i = 0; str[i]; ++i)\n    if ('a' <= str[i] && str[i] <= 'z')\n      ++count;\n\n  return count;\n}\n
getGreatestCommonDivisor,"/**\n * This function calculates the greatest common divisor of two numbers.\n *\n * It uses the Euclidean algorithm to iteratively replace 'a' and 'b'\n * with 'b' and 'a % b' until 'b' becomes zero. At this point, 'a' is\n * the greatest common divisor of the original 'a' and 'b'.\n */\nint getGreatestCommonDivisor(int a, int b) {\n  while (b != 0) {\n    int temp = b;\n    b = a % b;\n    a = temp;\n  }\n  return a;\n}","int getGreatestCommonDivisor(int a, int b) { while (b != 0) { int temp = b; b = a % b; a = temp; } return a; }"
printColors,"/**\n * This function prints out all colors of the rainbow.\n *\n * It uses a for loop to iterate over a list of color names, and then\n * prints each one on a new line.\n */\nvoid printColors() {\n  std::cout << \""\033[0;31m\"" << R\""(Red) \033[0m\n\"";\n  std::cout << \""\033[0;32m\"" << R\""(Green) \033[0m\n\"";\n  std::cout << \""\033[0;33m\"" << R\""(Yellow) \033[0m\n\"";\n  std::cout << \""\033[0;34m\"" << R\""(Blue) \033[0m\n\"";\n  std::cout << \""\033[0;35m\"" << R\""(Magenta) \033[0m\n\"";\n  std::cout << \""\033[0;36m\"" << R\""(Cyan) \033[0m\n\"";\n}","void printColors() { std::cout << \\033[0;31m\\""Red\\033[0m\\n\\033[0;32m\\""Green\\033[0m\\n\\033[0;33m\\""Yellow\\033[0m\\n\\033[0;34m\\""Blue\\033[0m\\n\\033[0;35m\\""Magenta\\033[0m\\n\\033[0;36m\\""Cyan\\033[0m\\n;}"
calculateAverage,"/**\n * This function calculates the average of a list of numbers.\n *\n * It uses a for loop to iterate over the list, and then adds up all\n * the numbers. Finally, it divides by the total count of numbers\n * to get the average.\n */\ndouble calculateAverage(int numbers[], int size) {\n  double sum = 0;\n  for (int i = 0; i < size; i++) {\n    sum += numbers[i];\n  }\n  return sum / size;\n}","double calculateAverage(int numbers[], int size) { double sum = 0; for (int i = 0; i < size; i++) { sum += numbers[i]; } return sum / size;"
findMaxElement,"/**\n * This function finds the maximum element in an array of integers.\n *\n * @param arr The input array of integers.\n * @return The maximum element in the array.\n */\nint findMaxElement(int arr[], int size) {\n    int max = arr[0];\n    for (int i = 1; i < size; i++) {\n        if (arr[i] > max) {\n            max = arr[i];\n        }\n    }\n    return max;\n}","int findMaxElement(int arr[], int size) { int max = arr[0]; for (int i = 1; i < size; i++) { if (arr[i] > max) { max = arr[i]; } } return max; }"
findMaximumElement,"/**\n * Finds the maximum element in an array of integers.\n\n *\n * @param arr The input array.\n * @return The maximum element in the array.\n */\nint findMaximumElement(int arr[], int size) {\n    if (size == 0)\n        return INT_MIN;\n    int max = arr[0];\n    for (int i = 1; i < size; ++i) {\n        if (arr[i] > max)\n            max = arr[i];\n    }\n    return max;\n}","int findMaximumElement(int arr[], int size) { if (size == 0) return INT_MIN; int max = arr[0]; for (int i = 1; i < size; ++i) { if (arr[i] > max) max = arr[i]; } return max; }"
maxSubArraySum,"Returns the maximum contiguous sum of an array \nExample: [2, -3, 4, -1, 5] \np = 6\n","int maxSubArraySum(int arr[], int size) {
    int max_so_far = INT_MIN;
    int max_ending_here = 0;

    for (int i = 0; i < size; i++) {
        max_ending_here = max_ending_here + arr[i];\n        if (max_so_far < max_ending_here) {\n            max_so_far = max_ending_here;\n        }
    }

    return max_so_far;
}"
isPerfectSquare,"Checks if a number is a perfect square \np = n * (n + 1) / 2 \npos: 4, 16, 25 \nneg: -3, -10\np: True, False\n","bool isPerfectSquare(int n) {
    double sqrt_n = sqrt(n);

    if (sqrt_n == floor(sqrt_n)) {\n        return true;\n    }
    return false;
}"
reversePrefix,"Reverses all characters in a string before the first occurrence of a given prefix \np: &quot;abx&quot;, prefix = &quot;x&quot; \nn = &quot;ba&quot;, \
prefix = &quot;x&quot; \nresult = &quot;abx&quot;, \
prefix = &quot;x&quot; \nn: False, \nprefix = &quot;a&quot; \n","bool reversePrefix(string s, string prefix) {
    int idx = s.find(prefix);

    if (idx == string::npos) {\n        return false;
    }

    reverse(s.begin() + 0, s.begin() + idx);
    reverse(s.begin() + idx + 1, s.end());\n
    return true;
}"
